"","section","subsection","title","abstract","url","byline","item_type","updated_date","created_date","published_date","material_type_facet","kicker","multimedia.url","multimedia.format","multimedia.height","multimedia.width","multimedia.type","multimedia.subtype","multimedia.caption","multimedia.copyright","multimedia.url.1","multimedia.format.1","multimedia.height.1","multimedia.width.1","multimedia.type.1","multimedia.subtype.1","multimedia.caption.1","multimedia.copyright.1","multimedia.url.2","multimedia.format.2","multimedia.height.2","multimedia.width.2","multimedia.type.2","multimedia.subtype.2","multimedia.caption.2","multimedia.copyright.2","multimedia.url.3","multimedia.format.3","multimedia.height.3","multimedia.width.3","multimedia.type.3","multimedia.subtype.3","multimedia.caption.3","multimedia.copyright.3","multimedia.url.4","multimedia.format.4","multimedia.height.4","multimedia.width.4","multimedia.type.4","multimedia.subtype.4","multimedia.caption.4","multimedia.copyright.4","short_url","stringsAsFactor","des_facet","per_facet","des_facet1","des_facet2","des_facet3","des_facet4","org_facet1","org_facet2","per_facet1","per_facet2","geo_facet","geo_facet1","geo_facet2","org_facet","per_facet3","per_facet4","per_facet5","per_facet6","per_facet7","des_facet5","des_facet6","des_facet7","des_facet8","geo_facet3","geo_facet4","geo_facet5","org_facet3","des_facet9","des_facet10","des_facet11","des_facet12","org_facet4","org_facet5","org_facet6","org_facet7","per_facet8","per_facet9","per_facet10","per_facet11","geo_facet6"
"580","Travel","","How to Have a Romantic Vacation","Plan surprises (a sunset cruise), stay off your phone, write (really write) a love letter.","https://www.nytimes.com/2017/10/21/travel/romantic-vacation-tips.html","By SHIVANI VORA","Article","2017-10-21T05:00:25-04:00","2017-10-21T05:00:24-04:00","2017-10-21T05:00:24-04:00","","","https://static01.nyt.com/images/2017/10/29/travel/29ROMANCE/29ROMANCE-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","","Lars Leetaru","https://static01.nyt.com/images/2017/10/29/travel/29ROMANCE/29ROMANCE-thumbLarge.jpg","thumbLarge","150","150","image","photo","","Lars Leetaru","https://static01.nyt.com/images/2017/10/29/travel/29ROMANCE/29TIPS-articleInline.jpg","Normal","190","190","image","photo","","Lars Leetaru","https://static01.nyt.com/images/2017/10/29/travel/29ROMANCE/29ROMANCE-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","","Lars Leetaru","https://static01.nyt.com/images/2017/10/29/travel/29ROMANCE/29TIPS-superJumbo.jpg","superJumbo","2048","2048","image","photo","","Lars Leetaru","https://nyti.ms/2zq7en9",FALSE,NA,NA,"Travel and Vacations","Dating and Relationships",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Las Ventanas al Paraiso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581","World","Europe","U.S.-Turkey Visa Standoff Disrupts Business and Tourism","As the diplomatic dispute lingers, Turks and Americans are struggling with the effects, and the United States is demanding protection for its consular staff.","https://www.nytimes.com/2017/10/20/world/europe/us-turkey-visa-suspension.html","By CARLOTTA GALL","Article","2017-10-20T15:23:30-04:00","2017-10-20T15:23:30-04:00","2017-10-20T15:23:30-04:00","","","https://static01.nyt.com/images/2017/10/21/world/xxturkey/xxturkey-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","The United States Consulate in Istanbul. Turkey’s detention of employees of the consulate led to the suspension of visas services by both sides.","Ozan Kose/Agence France-Presse — Getty Images","https://static01.nyt.com/images/2017/10/21/world/xxturkey/xxturkey-thumbLarge.jpg","thumbLarge","150","150","image","photo","The United States Consulate in Istanbul. Turkey’s detention of employees of the consulate led to the suspension of visas services by both sides.","Ozan Kose/Agence France-Presse — Getty Images","https://static01.nyt.com/images/2017/10/21/world/xxturkey/xxturkey-articleInline.jpg","Normal","126","190","image","photo","The United States Consulate in Istanbul. Turkey’s detention of employees of the consulate led to the suspension of visas services by both sides.","Ozan Kose/Agence France-Presse — Getty Images","https://static01.nyt.com/images/2017/10/21/world/xxturkey/xxturkey-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","The United States Consulate in Istanbul. Turkey’s detention of employees of the consulate led to the suspension of visas services by both sides.","Ozan Kose/Agence France-Presse — Getty Images","https://static01.nyt.com/images/2017/10/21/world/xxturkey/xxturkey-superJumbo.jpg","superJumbo","1363","2048","image","photo","The United States Consulate in Istanbul. Turkey’s detention of employees of the consulate led to the suspension of visas services by both sides.","Ozan Kose/Agence France-Presse — Getty Images","https://nyti.ms/2gUEw77",FALSE,NA,NA,"Visas","Immigration and Emigration","United States International Relations","Politics and Government",NA,NA,NA,NA,NA,"United States","Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"582","Food","Wine, Beer & Cocktails","Wildfires Spared the Vineyards, but the Wines Could Suffer","Winemakers in Northern California feel they dodged the worst, but have short-term worries about the grapes.","https://www.nytimes.com/2017/10/20/dining/drinks/california-wildfires-wine.html","By ERIC ASIMOV","Article","2017-10-20T20:00:45-04:00","2017-10-20T13:30:06-04:00","2017-10-20T13:30:06-04:00","","","https://static01.nyt.com/images/2017/10/22/dining/22wineries1/20wineries1-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","Grapevines at the Gundlach Bundschu winery in the Sonoma Valley. The family that owns it said they are more concerned at the moment about the well-being of employees.","Talia Herman for The New York Times","https://static01.nyt.com/images/2017/10/22/dining/22wineries1/20wineries1-thumbLarge.jpg","thumbLarge","150","150","image","photo","Grapevines at the Gundlach Bundschu winery in the Sonoma Valley. The family that owns it said they are more concerned at the moment about the well-being of employees.","Talia Herman for The New York Times","https://static01.nyt.com/images/2017/10/22/dining/22wineries1/20wineries1-articleInline.jpg","Normal","127","190","image","photo","Grapevines at the Gundlach Bundschu winery in the Sonoma Valley. The family that owns it said they are more concerned at the moment about the well-being of employees.","Talia Herman for The New York Times","https://static01.nyt.com/images/2017/10/22/dining/22wineries1/20wineries1-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Grapevines at the Gundlach Bundschu winery in the Sonoma Valley. The family that owns it said they are more concerned at the moment about the well-being of employees.","Talia Herman for The New York Times","https://static01.nyt.com/images/2017/10/22/dining/22wineries1/20wineries1-superJumbo.jpg","superJumbo","1365","2048","image","photo","Grapevines at the Gundlach Bundschu winery in the Sonoma Valley. The family that owns it said they are more concerned at the moment about the well-being of employees.","Talia Herman for The New York Times","https://nyti.ms/2l1hJLj",FALSE,NA,NA,"Wines","Grapes","Wildfires",NA,NA,NA,NA,NA,NA,"Sonoma Valley (Calif)","Napa (Calif)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mendocino (Calif)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"583","Travel","","6 Spooky Travel Destinations for the Halloween Season","While a few cities provide a spooky vibe all-year-round, festivals, theme park pop-up events and other haunted happenings elsewhere have helped make Halloween a travel season all its own.","https://www.nytimes.com/2017/10/18/travel/6-spooky-travel-destinations-for-the-halloween-season.html","By JUSTIN SABLICH","Article","2017-10-18T05:00:32-04:00","2017-10-18T05:00:32-04:00","2017-10-18T05:00:32-04:00","","","https://static01.nyt.com/images/2016/10/09/travel/09Getaway1/09Getaway1-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","The Krewe of Boo parade in New Orleans, inspired by Mardi Gras.","New Orleans Convention and Visitors Bureau","https://static01.nyt.com/images/2016/10/09/travel/09Getaway1/09Getaway1-thumbLarge.jpg","thumbLarge","150","150","image","photo","The Krewe of Boo parade in New Orleans, inspired by Mardi Gras.","New Orleans Convention and Visitors Bureau","https://static01.nyt.com/images/2016/10/09/travel/09Getaway1/09Getaway1-articleInline.jpg","Normal","126","190","image","photo","The Krewe of Boo parade in New Orleans, inspired by Mardi Gras.","New Orleans Convention and Visitors Bureau","https://static01.nyt.com/images/2016/10/09/travel/09Getaway1/09Getaway1-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","The Krewe of Boo parade in New Orleans, inspired by Mardi Gras.","New Orleans Convention and Visitors Bureau","https://static01.nyt.com/images/2016/10/09/travel/09Getaway1/09Getaway1-superJumbo.jpg","superJumbo","1363","2048","image","photo","The Krewe of Boo parade in New Orleans, inspired by Mardi Gras.","New Orleans Convention and Visitors Bureau","https://nyti.ms/2kXYjqt",FALSE,NA,NA,"Halloween","Travel and Vacations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"584","World","Canada","After Drone Hits Plane in Canada, New Fears About Air Safety","Pilots are filing reports of drones flying too high on a weekly, almost daily basis, despite new rules and fines.","https://www.nytimes.com/2017/10/17/world/canada/canada-drone-plane.html","By CHRISTINA CARON","Article","2017-10-17T19:22:27-04:00","2017-10-17T17:51:00-04:00","2017-10-17T17:51:00-04:00","","","https://static01.nyt.com/images/2017/10/17/world/18xp-drone/18xp-drone-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","Marc Garneau, Canada’s transport minister.","Chris Wattie/Reuters","https://static01.nyt.com/images/2017/10/17/world/18xp-drone/18xp-drone-thumbLarge.jpg","thumbLarge","150","150","image","photo","Marc Garneau, Canada’s transport minister.","Chris Wattie/Reuters","https://static01.nyt.com/images/2017/10/17/world/18xp-drone/18xp-drone-articleInline.jpg","Normal","127","190","image","photo","Marc Garneau, Canada’s transport minister.","Chris Wattie/Reuters","https://static01.nyt.com/images/2017/10/17/world/18xp-drone/18xp-drone-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Marc Garneau, Canada’s transport minister.","Chris Wattie/Reuters","https://static01.nyt.com/images/2017/10/17/world/18xp-drone/18xp-drone-superJumbo.jpg","superJumbo","1366","2048","image","photo","Marc Garneau, Canada’s transport minister.","Chris Wattie/Reuters","https://nyti.ms/2kXBS4H",FALSE,NA,NA,"Drones (Pilotless Planes)","Airlines and Airplanes","Accidents and Safety",NA,NA,NA,NA,NA,"Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"585","Travel","","Delta Passenger Says She Was Stopped From Singing National Anthem for Fallen Soldier","The airline said it was looking into what happened on the flight carrying the body to Atlanta, after a widely circulated Facebook video.","https://www.nytimes.com/2017/10/17/travel/delta-anthem-soldier.html","By JONAH ENGEL BROMWICH","Article","2017-10-17T11:39:31-04:00","2017-10-17T10:57:27-04:00","2017-10-17T10:57:27-04:00","","","https://static01.nyt.com/images/2017/10/18/us/18xp-delta/18xp-delta-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","A Delta honor guard greets every plane that carries a fallen soldier at the Atlanta airport, the company said.","David Goldman/Associated Press","https://static01.nyt.com/images/2017/10/18/us/18xp-delta/18xp-delta-thumbLarge.jpg","thumbLarge","150","150","image","photo","A Delta honor guard greets every plane that carries a fallen soldier at the Atlanta airport, the company said.","David Goldman/Associated Press","https://static01.nyt.com/images/2017/10/18/us/18xp-delta/18xp-delta-articleInline-v2.jpg","Normal","134","190","image","photo","A Delta honor guard greets every plane that carries a fallen soldier at the Atlanta airport, the company said.","David Goldman/Associated Press","https://static01.nyt.com/images/2017/10/18/us/18xp-delta/18xp-delta-mediumThreeByTwo210-v2.jpg","mediumThreeByTwo210","140","210","image","photo","A Delta honor guard greets every plane that carries a fallen soldier at the Atlanta airport, the company said.","David Goldman/Associated Press","https://static01.nyt.com/images/2017/10/18/us/18xp-delta/18xp-delta-superJumbo.jpg","superJumbo","1365","2048","image","photo","A Delta honor guard greets every plane that carries a fallen soldier at the Atlanta airport, the company said.","David Goldman/Associated Press","https://nyti.ms/2kWCqrw",FALSE,NA,"Trump, Donald J","Defense and Military Forces","Airlines and Airplanes","National Anthems","Flight Attendants",NA,NA,NA,NA,NA,NA,NA,"Delta Air Lines Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"586","Travel","","Skipping Turkey at Home for Thanksgiving? Consider a Hotel Stay Overseas","Hotels from Italy to Argentina to Iceland are offering savings over the long Thanksgiving weekend.","https://www.nytimes.com/2017/10/17/travel/thanksgiving-hotels-deals.html","By JESSICA COLLEY CLARKE","Article","2017-10-17T05:00:02-04:00","2017-10-17T05:00:03-04:00","2017-10-17T05:00:03-04:00","","","https://static01.nyt.com/images/2017/10/29/travel/29thanksgiving-1/29thanksgiving-1-thumbStandard-v2.jpg","Standard Thumbnail","75","75","image","photo","The Piazzetta at Renaissance Tuscany Il Ciocco Resort &amp; Spa overlooks the Tuscan hills and village of Barga.","Renaissance Tuscany Il Ciocco Resort & Spa","https://static01.nyt.com/images/2017/10/29/travel/29thanksgiving-1/29thanksgiving-1-thumbLarge-v2.jpg","thumbLarge","150","150","image","photo","The Piazzetta at Renaissance Tuscany Il Ciocco Resort &amp; Spa overlooks the Tuscan hills and village of Barga.","Renaissance Tuscany Il Ciocco Resort & Spa","https://static01.nyt.com/images/2017/10/29/travel/29thanksgiving-1/29thanksgiving-1-articleInline-v2.jpg","Normal","127","190","image","photo","The Piazzetta at Renaissance Tuscany Il Ciocco Resort &amp; Spa overlooks the Tuscan hills and village of Barga.","Renaissance Tuscany Il Ciocco Resort & Spa","https://static01.nyt.com/images/2017/10/29/travel/29thanksgiving-1/29thanksgiving-1-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","The Piazzetta at Renaissance Tuscany Il Ciocco Resort &amp; Spa overlooks the Tuscan hills and village of Barga.","Renaissance Tuscany Il Ciocco Resort & Spa","https://static01.nyt.com/images/2017/10/29/travel/29thanksgiving-1/29thanksgiving-1-superJumbo.jpg","superJumbo","1280","1920","image","photo","The Piazzetta at Renaissance Tuscany Il Ciocco Resort &amp; Spa overlooks the Tuscan hills and village of Barga.","Renaissance Tuscany Il Ciocco Resort & Spa","https://nyti.ms/2kSzwEi",FALSE,NA,NA,"Thanksgiving Day","Travel and Vacations","Hotels and Travel Lodgings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"587","Business Day","","The Free Meal, Long Gone, Returns on Some Airlines","Complimentary food, along with Wi-Fi and free entertainment, is an indication of the airlines’ emergence from hard economic times.","https://www.nytimes.com/2017/10/16/business/free-meals-flights.html","By JULIE WEED","Article","2017-10-19T10:54:20-04:00","2017-10-16T14:14:48-04:00","2017-10-16T14:14:48-04:00","","","https://static01.nyt.com/images/2017/10/17/business/17ITINERARIES3/17ITINERARIES3-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","A fruit and cheese plate offered in conjunction with Murray&rsquo;s Cheese is one of the meal options on a Delta flight to Los Angeles.","Karsten Moran for The New York Times","https://static01.nyt.com/images/2017/10/17/business/17ITINERARIES3/17ITINERARIES3-thumbLarge.jpg","thumbLarge","150","150","image","photo","A fruit and cheese plate offered in conjunction with Murray&rsquo;s Cheese is one of the meal options on a Delta flight to Los Angeles.","Karsten Moran for The New York Times","https://static01.nyt.com/images/2017/10/17/business/17ITINERARIES3/17ITINERARIES3-articleInline.jpg","Normal","127","190","image","photo","A fruit and cheese plate offered in conjunction with Murray&rsquo;s Cheese is one of the meal options on a Delta flight to Los Angeles.","Karsten Moran for The New York Times","https://static01.nyt.com/images/2017/10/17/business/17ITINERARIES3/17ITINERARIES3-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","A fruit and cheese plate offered in conjunction with Murray&rsquo;s Cheese is one of the meal options on a Delta flight to Los Angeles.","Karsten Moran for The New York Times","https://static01.nyt.com/images/2017/10/17/business/17ITINERARIES3/17ITINERARIES3-superJumbo.jpg","superJumbo","1367","2048","image","photo","A fruit and cheese plate offered in conjunction with Murray&rsquo;s Cheese is one of the meal options on a Delta flight to Los Angeles.","Karsten Moran for The New York Times","https://nyti.ms/2kTKpWo",FALSE,NA,NA,"Airlines and Airplanes","Customer Relations","Food","Travel and Vacations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"588","Magazine","","When the Revolution Came for Amy Cuddy","As a young social psychologist, she played by the rules and won big: an influential study, a viral TED talk, a prestigious job at Harvard. Then, suddenly, the rules changed.","https://www.nytimes.com/2017/10/18/magazine/when-the-revolution-came-for-amy-cuddy.html","By SUSAN DOMINUS","Article","2017-10-19T17:26:35-04:00","2017-10-18T05:00:03-04:00","2017-10-18T05:00:03-04:00","","","https://static01.nyt.com/images/2017/10/22/magazine/22cover/22cover-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","","Photo illustration by Alec Soth","https://static01.nyt.com/images/2017/10/22/magazine/22cover/22cover-thumbLarge.jpg","thumbLarge","150","150","image","photo","","Photo illustration by Alec Soth","https://static01.nyt.com/images/2017/10/22/magazine/22cover/22cover-articleInline.jpg","Normal","223","190","image","photo","","Photo illustration by Alec Soth","https://static01.nyt.com/images/2017/10/22/magazine/22cover/22cover-mediumThreeByTwo210-v2.jpg","mediumThreeByTwo210","140","210","image","photo","","Photo illustration by Alec Soth","https://static01.nyt.com/images/2017/10/22/magazine/22cover/22cover-superJumbo.jpg","superJumbo","2048","1749","image","photo","","Photo illustration by Alec Soth","https://nyti.ms/2zjnPJ5",FALSE,NA,NA,"Psychology and Psychologists","Research","Statistics","TED Conference","Harvard Business School","Harvard University","Cuddy, Amy (1972- )","Gelman, Andrew",NA,NA,NA,NA,"Carney, Dana R","Simmons, Joseph P (1977- )","Simonsohn, Uri","Nelson, Leif D",NA,"Social Media","Academic and Scientific Journals","power posing","social psychology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"589","Magazine","","Rex Tillerson and the Unraveling of the State Department","With an isolated leader, a demoralized diplomatic corps and a president dismantling international relations one tweet at a time, American foreign policy is adrift in the world.","https://www.nytimes.com/2017/10/17/magazine/rex-tillerson-and-the-unraveling-of-the-state-department.html","By JASON ZENGERLE","Article","2017-10-18T13:07:35-04:00","2017-10-17T05:05:50-04:00","2017-10-17T05:05:50-04:00","","","https://static01.nyt.com/images/2017/10/22/magazine/22state1/22state1-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","","Illustrations by Kelsey Dake","https://static01.nyt.com/images/2017/10/22/magazine/22state1/22state1-thumbLarge.jpg","thumbLarge","150","150","image","photo","","Illustrations by Kelsey Dake","https://static01.nyt.com/images/2017/10/22/magazine/22state1/22state1-articleInline-v2.jpg","Normal","127","190","image","photo","","Illustrations by Kelsey Dake","https://static01.nyt.com/images/2017/10/22/magazine/22state1/22state1-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","","Illustrations by Kelsey Dake","https://static01.nyt.com/images/2017/10/22/magazine/22state1/22state1-superJumbo.jpg","superJumbo","2048","1677","image","photo","","Illustrations by Kelsey Dake","https://nyti.ms/2zgP07r",FALSE,NA,"Trump, Donald J","Russian Interference in 2016 US Elections and Ties to Trump Associates","Diplomatic Service, Embassies and Consulates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"590","Magazine","","The Superweirdo Behind ‘Thor: Ragnarok’","To revamp the most boring superhero in the Marvel pantheon, the company turned to an eccentric indie filmmaker from New Zealand. Will Americans like the view inside Taika Waititi’s head?","https://www.nytimes.com/2017/10/19/magazine/the-superweirdo-behind-thor-ragnarok.html","By DAN KOIS","Article","2017-10-19T05:00:03-04:00","2017-10-19T05:00:03-04:00","2017-10-19T05:00:03-04:00","","","https://static01.nyt.com/images/2017/10/22/magazine/22waititi1/22waititi1-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","","Emily Shur for The New York Times","https://static01.nyt.com/images/2017/10/22/magazine/22waititi1/22waititi1-thumbLarge.jpg","thumbLarge","150","150","image","photo","","Emily Shur for The New York Times","https://static01.nyt.com/images/2017/10/22/magazine/22waititi1/22waititi1-articleInline-v2.jpg","Normal","190","190","image","photo","","Emily Shur for The New York Times","https://static01.nyt.com/images/2017/10/22/magazine/22waititi1/22waititi1-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","","Emily Shur for The New York Times","https://static01.nyt.com/images/2017/10/22/magazine/22waititi1/22waititi1-superJumbo.jpg","superJumbo","2048","1639","image","photo","","Emily Shur for The New York Times","https://nyti.ms/2zli5Pb",FALSE,NA,NA,"Movies","Comic Books and Strips","Maoris","Hunt for the Wilderpeople (Movie)",NA,NA,"Clement, Jemaine (1974- )","Feige, Kevin",NA,"New Zealand","Queensland (Australia)","Marvel Entertainment","Hemsworth, Chris","McKenzie, Bret","Waititi, Taika",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"591","Magazine","","How the Appetite for Emojis Complicates the Effort to Standardize the World’s Alphabets","Do the volunteers behind Unicode, whose mission is to bring all human languages into the digital sphere, have enough bandwidth to deal with emojis too?","https://www.nytimes.com/2017/10/18/magazine/how-the-appetite-for-emojis-complicates-the-effort-to-standardize-the-worlds-alphabets.html","By MICHAEL ERARD","Article","2017-10-18T05:05:55-04:00","2017-10-18T05:05:55-04:00","2017-10-18T05:05:55-04:00","","","https://static01.nyt.com/images/2017/10/22/magazine/22unicode/22unicode-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","","Illustration by Matt Dorfman","https://static01.nyt.com/images/2017/10/22/magazine/22unicode/22unicode-thumbLarge.jpg","thumbLarge","150","150","image","photo","","Illustration by Matt Dorfman","https://static01.nyt.com/images/2017/10/22/magazine/22unicode/22unicode-articleInline.jpg","Normal","127","190","image","photo","","Illustration by Matt Dorfman","https://static01.nyt.com/images/2017/10/22/magazine/22unicode/22mag-22unicode-t_CA0-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","","Illustration by Matt Dorfman","https://static01.nyt.com/images/2017/10/22/magazine/22unicode/22unicode-superJumbo.jpg","superJumbo","2048","1640","image","photo","","Illustration by Matt Dorfman","https://nyti.ms/2zj7hBb",FALSE,NA,NA,"Emojis and Emoticons","Text Messaging",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"592","Magazine","","In Pursuit of Cartoonish Perfection in a Japanese Rice Bowl","Katsudon — a bowl of rice topped with slices of pork cutlet, onions and barely cooked eggs — can be transcendent.","https://www.nytimes.com/2017/10/19/magazine/in-pursuit-of-cartoonish-perfection-in-a-japanese-rice-bowl.html","By TEJAL RAO","Article","2017-10-19T05:00:02-04:00","2017-10-19T05:00:02-04:00","2017-10-19T05:00:02-04:00","","","https://static01.nyt.com/images/2017/10/22/magazine/22eat-copy/22eat-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","Katsudon (pork-cutlet rice bowl).","Gentl and Hyers for The New York Times","https://static01.nyt.com/images/2017/10/22/magazine/22eat-copy/22eat-thumbLarge.jpg","thumbLarge","150","150","image","photo","Katsudon (pork-cutlet rice bowl).","Gentl and Hyers for The New York Times","https://static01.nyt.com/images/2017/10/22/magazine/22eat-copy/22eat-articleInline.jpg","Normal","127","190","image","photo","Katsudon (pork-cutlet rice bowl).","Gentl and Hyers for The New York Times","https://static01.nyt.com/images/2017/10/22/magazine/22eat-copy/22eat-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","Katsudon (pork-cutlet rice bowl).","Gentl and Hyers for The New York Times","https://static01.nyt.com/images/2017/10/22/magazine/22eat-copy/22eat-superJumbo.jpg","superJumbo","1365","2048","image","photo","Katsudon (pork-cutlet rice bowl).","Gentl and Hyers for The New York Times","https://nyti.ms/2zkbIvn",FALSE,NA,NA,"Cooking and Cookbooks","Japanese Food (Cuisine)","Pork","Recipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"593","Magazine","","Letter of Recommendation: Pallbearer","Doom metal never sounded so hopeful.","https://www.nytimes.com/2017/10/19/magazine/letter-of-recommendation-pallbearer.html","By DAVID REES","Article","2017-10-19T05:05:31-04:00","2017-10-19T05:05:31-04:00","2017-10-19T05:05:31-04:00","","","https://static01.nyt.com/images/2017/10/22/magazine/22lor/22lor-thumbStandard.jpg","Standard Thumbnail","75","75","image","photo","The doom-metal band Pallbearer takes the genre’s distorted guitars and dread and adds an ambitious element of optimism.","Illustration by Bráulio Amado","https://static01.nyt.com/images/2017/10/22/magazine/22lor/22lor-thumbLarge.jpg","thumbLarge","150","150","image","photo","The doom-metal band Pallbearer takes the genre’s distorted guitars and dread and adds an ambitious element of optimism.","Illustration by Bráulio Amado","https://static01.nyt.com/images/2017/10/22/magazine/22lor/22lor-articleInline.jpg","Normal","140","190","image","photo","The doom-metal band Pallbearer takes the genre’s distorted guitars and dread and adds an ambitious element of optimism.","Illustration by Bráulio Amado","https://static01.nyt.com/images/2017/10/22/magazine/22lor/22lor-mediumThreeByTwo210.jpg","mediumThreeByTwo210","140","210","image","photo","The doom-metal band Pallbearer takes the genre’s distorted guitars and dread and adds an ambitious element of optimism.","Illustration by Bráulio Amado","https://static01.nyt.com/images/2017/10/22/magazine/22lor/22lor-superJumbo.jpg","superJumbo","1514","2048","image","photo","The doom-metal band Pallbearer takes the genre’s distorted guitars and dread and adds an ambitious element of optimism.","Illustration by Bráulio Amado","https://nyti.ms/2zkZWAW",FALSE,NA,NA,"Music","Pop and Rock Music",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black Sabbath (Music Group)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
